,open_time,liquidation_long,liquidation_short,oi,top_ls_account,top_ls_position,global_ls_account,buy_sell_ratio,closeprice,mark_closeprice,volume,number
926,1645675200,1474942,1333894,2553202511,1.5867,1.0518,1.5013,0.9707,34756.7,34759.71561675,34971.968,317092.0
927,1645677000,0,7,2552440538,1.5316,1.0614,1.4143,1.1737,35049.9,35051.4,20051.04,162094.0
928,1645678800,0,5696,2577118455,1.5994,1.0526,1.4925,0.9108,34609.5,34605.1,13463.111,128436.0
929,1645680600,124635,1911959,2549713665,1.5634,1.0494,1.429,1.0247,34658.1,34602.07125017,32391.842,259856.0
930,1645682400,21028,627782,2566131299,1.4814,1.0647,1.3191,1.175,34812.2,34808.6,16978.774,162337.0
931,1645684200,4583,3245,2592668412,1.4594,1.0465,1.3186,1.131,34876.9,34883.8,10573.926,101190.0
932,1645686000,0,1095111,2613021551,1.439,1.0439,1.2946,0.8934,34610.1,34617.13035735,11029.937,105128.0
933,1645687800,599193,241172,2590813193,1.4143,1.0477,1.2472,1.1374,35282.3,35276.92994889,33728.78,273908.0
934,1645689600,1688000,13904,2636199715,1.4331,1.0643,1.3089,0.9092,35452.9,35448.4,28989.605,247159.0
935,1645691400,0,0,2642185381,1.4802,1.0629,1.3981,1.1303,35490.3,35493.5639991,15959.358,136267.0
936,1645693200,12497,0,2646799541,1.4313,1.0677,1.3359,1.1867,35729.7,35735.0,12599.328,109782.0
937,1645695000,44813,0,2668178575,1.4278,1.0674,1.3485,0.8103,35325.0,35335.0,12853.322,119283.0
938,1645696800,1710,74263,2622003967,1.3764,1.0725,1.2722,0.8879,34936.9,34934.9,20734.881,187133.0
939,1645698600,4879,0,2591070039,1.3154,1.0871,1.1739,1.1671,35184.0,35180.54878069,12617.806,116884.0
940,1645700400,0,267142,2626733210,1.3343,1.0894,1.1896,0.9538,34991.7,34992.30889742,11249.35,106731.0
941,1645702200,0,337822,2616275984,1.3207,1.096,1.1626,1.2376,35425.4,35436.0,17365.839,158071.0
942,1645704000,0,0,2642703485,1.3132,1.0942,1.1706,0.8752,35125.3,35130.57875122,11467.036,106958.0
943,1645705800,874,0,2630456993,1.3245,1.0911,1.1711,1.2191,35244.5,35246.5,10976.518,104852.0
944,1645707600,0,0,2634902369,1.3143,1.0927,1.1622,1.0641,35332.9,35332.32452589,10867.589,105657.0
945,1645709400,30262,0,2657041188,1.3004,1.0884,1.1519,1.1484,35449.1,35463.65323726,13651.788,137355.0
946,1645711200,0,0,2687664596,1.2763,1.0853,1.1386,1.0003,35279.9,35272.3,12578.028,118222.0
947,1645713000,27976,1794,2651791565,1.2645,1.0813,1.1191,0.9839,35619.6,35619.4,37780.266,318652.0
948,1645714800,3194031,8391646,2673720145,1.2691,1.0674,1.1236,1.0481,35590.1,35594.65301248,28361.592,268832.0
949,1645716600,74764,0,2679994999,1.31,1.0443,1.1887,1.1133,35892.2,35894.3,19314.12,186331.0
950,1645718400,3764415,7296710,2712987251,1.2904,1.0488,1.1706,1.1749,36103.9,36095.2,24768.141,230643.0
951,1645720200,0,14632,2747947104,1.2784,1.0357,1.1944,1.0048,36119.8,36129.82302143,14997.347,130676.0
952,1645722000,0,2323,2745046367,1.2346,1.0353,1.1409,0.9439,35862.7,35869.35303059,11237.625,109841.0
